               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.035204,            0.011039,            0.014426,             0.64702,             0.42806,               0.508,             0.38327,            0.031191,           0.0064268,            0.025144,           0.0072973,           0.0072973,           0.0072973
                  37,            0.034518,            0.011173,            0.014163,             0.54684,              0.4817,             0.50531,             0.37931,            0.031335,           0.0062996,             0.02515,           0.0071576,           0.0071576,           0.0071576
                  38,            0.034346,            0.011133,            0.013981,             0.64856,             0.42674,             0.50772,             0.39133,             0.03101,           0.0064283,            0.023769,           0.0070159,           0.0070159,           0.0070159
                  39,            0.034181,            0.011122,            0.013375,             0.60944,             0.47187,              0.5094,             0.38849,            0.031086,           0.0064492,            0.023967,           0.0068722,           0.0068722,           0.0068722
                  40,            0.033923,            0.010871,            0.013676,             0.67129,             0.43229,             0.51925,             0.39451,            0.030892,           0.0063322,            0.024512,           0.0067268,           0.0067268,           0.0067268
                  41,            0.033079,            0.010627,            0.012945,             0.55888,             0.49729,             0.50983,             0.38692,            0.030954,           0.0064529,            0.024143,           0.0065796,           0.0065796,           0.0065796
                  42,            0.033565,            0.010876,            0.012449,             0.64413,             0.44647,             0.52672,             0.40484,            0.030895,           0.0063896,            0.024009,            0.006431,            0.006431,            0.006431
                  43,            0.033174,              0.0106,             0.01234,             0.56939,              0.4714,             0.51045,              0.3862,            0.030858,           0.0064496,            0.023553,            0.006281,            0.006281,            0.006281
                  44,             0.03329,            0.010831,            0.012777,              0.5395,             0.49709,             0.52902,             0.40589,            0.030849,           0.0063568,            0.023351,           0.0061298,           0.0061298,           0.0061298
                  45,            0.032311,            0.010145,            0.012199,             0.58885,             0.44903,             0.51555,             0.39284,            0.030874,           0.0063657,            0.024226,           0.0059775,           0.0059775,           0.0059775
                  46,            0.032302,            0.010451,            0.011845,              0.5529,             0.51134,             0.53353,              0.4099,            0.030523,           0.0063555,            0.023051,           0.0058244,           0.0058244,           0.0058244
                  47,            0.032325,             0.01024,            0.011375,             0.57955,             0.52437,             0.53816,             0.41346,            0.030596,           0.0063548,            0.022898,           0.0056704,           0.0056704,           0.0056704
                  48,            0.032125,            0.010165,            0.011715,             0.60967,             0.48877,             0.53087,             0.40616,            0.030483,           0.0063403,            0.022684,           0.0055158,           0.0055158,           0.0055158
                  49,            0.031986,             0.01034,            0.011705,             0.54961,             0.52707,             0.54332,             0.41639,            0.030467,           0.0062789,            0.022903,           0.0053608,           0.0053608,           0.0053608
                  50,            0.031238,            0.010185,            0.011038,             0.55983,             0.50786,             0.53769,             0.41581,            0.030361,           0.0063101,            0.022532,           0.0052055,           0.0052055,           0.0052055
                  51,            0.031068,            0.010175,            0.010398,             0.59346,             0.50674,             0.54381,             0.41743,            0.030401,           0.0063165,            0.022493,             0.00505,             0.00505,             0.00505
                  52,            0.030889,           0.0099522,            0.010799,             0.62062,             0.47196,             0.53087,             0.40717,             0.03036,           0.0063906,            0.022995,           0.0048945,           0.0048945,           0.0048945
                  53,            0.030888,            0.010111,            0.010349,             0.62767,             0.47831,             0.55352,             0.42669,            0.030453,           0.0063217,            0.022249,           0.0047392,           0.0047392,           0.0047392
                  54,            0.030898,           0.0098774,           0.0099558,              0.6766,             0.47667,             0.55292,              0.4255,            0.030204,           0.0064147,            0.021868,           0.0045842,           0.0045842,           0.0045842
                  55,            0.030186,           0.0099111,            0.010169,             0.64021,             0.49706,             0.55267,             0.42724,            0.030249,           0.0063272,            0.021631,           0.0044296,           0.0044296,           0.0044296
                  56,            0.029866,           0.0096683,           0.0097351,             0.66203,             0.49162,             0.56068,              0.4331,            0.030127,             0.00638,            0.021409,           0.0042756,           0.0042756,           0.0042756
                  57,            0.030269,           0.0099935,           0.0097302,             0.61987,             0.49387,             0.56078,             0.43416,            0.030075,           0.0063935,            0.021745,           0.0041225,           0.0041225,           0.0041225
                  58,            0.029979,           0.0095467,           0.0097548,              0.5913,             0.51745,             0.55878,             0.43411,            0.030188,           0.0064437,            0.021458,           0.0039702,           0.0039702,           0.0039702
                  59,            0.029393,           0.0095646,           0.0092908,             0.66549,             0.49045,             0.56551,             0.43742,            0.030079,           0.0063566,            0.021067,            0.003819,            0.003819,            0.003819
                  60,             0.02967,           0.0097508,            0.009796,             0.62209,             0.48975,             0.55407,             0.43023,            0.029904,           0.0064435,            0.021413,            0.003669,            0.003669,            0.003669
                  61,            0.028748,           0.0095267,           0.0090839,             0.66064,             0.49322,             0.56766,             0.44445,            0.029968,           0.0063635,            0.021364,           0.0035204,           0.0035204,           0.0035204
                  62,            0.028583,           0.0095736,           0.0087225,             0.58812,             0.54065,             0.56042,             0.43638,            0.029848,           0.0063564,            0.020921,           0.0033732,           0.0033732,           0.0033732
