               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098619,            0.039318,            0.099781,                   0,                   0,                   0,                   0,             0.10819,            0.024868,             0.11461,            0.070009,           0.0033323,           0.0033323
                   1,            0.092376,            0.026291,            0.097155,                   0,                   0,                   0,                   0,             0.10457,            0.014456,             0.11495,            0.038689,           0.0053459,           0.0053459
                   2,            0.089028,            0.020464,            0.096869,                   0,                   0,                   0,                   0,            0.098029,            0.010785,             0.10984,           0.0060493,           0.0060394,           0.0060394
                   3,             0.08208,            0.016657,            0.087767,          0.00015117,           0.0055122,          0.00010373,          3.1979e-05,            0.079905,            0.012744,            0.091242,             0.00406,             0.00406,             0.00406
                   4,            0.061983,            0.015565,            0.076554,             0.87459,           0.0085715,           0.0078408,            0.003755,            0.055279,            0.011087,            0.083601,             0.00406,             0.00406,             0.00406
