               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.071965,            0.020036,             0.02865,              0.4724,             0.66237,             0.61343,             0.43374,            0.063526,            0.014634,            0.026804,            0.018704,            0.018704,            0.018704
                  38,            0.070714,            0.019813,            0.028722,             0.48438,             0.65055,             0.62393,             0.44358,            0.063186,            0.014599,            0.026581,            0.018668,            0.018668,            0.018668
                  39,             0.07096,            0.019615,            0.028642,             0.49518,              0.6628,             0.62128,             0.44392,            0.063408,            0.014528,            0.026403,            0.018632,            0.018632,            0.018632
                  40,            0.070576,            0.019587,            0.027985,             0.49928,             0.65154,                0.62,             0.44297,            0.063497,            0.014478,            0.025996,            0.018596,            0.018596,            0.018596
                  41,            0.070746,            0.019334,            0.027696,             0.51764,             0.66178,             0.64136,             0.45569,            0.063425,            0.014435,            0.025353,             0.01856,             0.01856,             0.01856
                  42,            0.070882,            0.019832,            0.027434,              0.5183,             0.66564,              0.6506,             0.46721,            0.062642,             0.01463,            0.025444,            0.018524,            0.018524,            0.018524
                  43,            0.070811,            0.019292,            0.027233,             0.52664,             0.68167,             0.65566,             0.46945,              0.0626,            0.014371,            0.025038,            0.018488,            0.018488,            0.018488
                  44,            0.070825,            0.019545,            0.026573,              0.5149,             0.68415,             0.66303,             0.47661,            0.062639,            0.014445,            0.024859,            0.018452,            0.018452,            0.018452
                  45,            0.069715,             0.01926,            0.026718,             0.54531,             0.69354,             0.67281,             0.48165,            0.062436,            0.014304,            0.024579,            0.018416,            0.018416,            0.018416
                  46,            0.069846,            0.019123,            0.025943,             0.58793,             0.67612,             0.68441,             0.49331,            0.062215,            0.014162,             0.02392,             0.01838,             0.01838,             0.01838
                  47,            0.070019,             0.01917,             0.02634,             0.57883,             0.69637,             0.68556,             0.49629,            0.062115,            0.014223,            0.023747,            0.018344,            0.018344,            0.018344
                  48,            0.070689,            0.019297,            0.025135,             0.58439,             0.69413,             0.69108,             0.49933,            0.062074,            0.014139,            0.023614,            0.018308,            0.018308,            0.018308
                  49,            0.070988,            0.019438,            0.025028,             0.56925,             0.70273,             0.69531,             0.50447,            0.062192,            0.014302,            0.023092,            0.018272,            0.018272,            0.018272
                  50,            0.069881,            0.019242,            0.025025,             0.59073,             0.70542,             0.69667,             0.50417,            0.062397,            0.014236,            0.023156,            0.018236,            0.018236,            0.018236
                  51,            0.070686,            0.020478,            0.022597,              0.6486,              0.6551,             0.71045,             0.51508,            0.061831,            0.014187,             0.02261,              0.0182,              0.0182,              0.0182
                  52,            0.069634,            0.018857,            0.024553,             0.60736,             0.70062,             0.71021,             0.51573,            0.061795,            0.014162,            0.022884,            0.018164,            0.018164,            0.018164
                  53,             0.06938,              0.0193,            0.023999,             0.62221,             0.69974,             0.71734,              0.5219,            0.061725,            0.014072,            0.022369,            0.018128,            0.018128,            0.018128
                  54,            0.069014,            0.018676,            0.023782,             0.62183,             0.71905,             0.72624,             0.53039,              0.0615,            0.014064,            0.022197,            0.018092,            0.018092,            0.018092
                  55,            0.069551,            0.019405,            0.023293,             0.63846,             0.71606,             0.72979,             0.53271,            0.061468,            0.014137,            0.021726,            0.018056,            0.018056,            0.018056
                  56,            0.069026,            0.018936,            0.023299,              0.6387,             0.71358,             0.73056,             0.53534,            0.061302,            0.014055,            0.021737,             0.01802,             0.01802,             0.01802
                  57,            0.069497,            0.018871,            0.022849,             0.65415,             0.71933,             0.73647,             0.53891,            0.061111,            0.014123,            0.021594,            0.017984,            0.017984,            0.017984
                  58,            0.068844,            0.018935,            0.023146,              0.6576,             0.72303,             0.73697,              0.5361,            0.061307,            0.014086,            0.021371,            0.017948,            0.017948,            0.017948
                  59,            0.068993,            0.018993,             0.02291,             0.66554,             0.71663,             0.74674,             0.54839,            0.060838,            0.013934,            0.021384,            0.017912,            0.017912,            0.017912
                  60,            0.069297,            0.018871,            0.022475,             0.66285,             0.71907,             0.74471,             0.54041,            0.061144,            0.014044,            0.020739,            0.017876,            0.017876,            0.017876
                  61,            0.068401,            0.018795,            0.022591,             0.67737,             0.73251,             0.75539,             0.55417,            0.060969,            0.013934,            0.020547,             0.01784,             0.01784,             0.01784
                  62,            0.070082,            0.019156,            0.021604,               0.671,             0.72466,             0.75557,             0.55203,            0.060539,            0.013886,            0.020311,            0.017804,            0.017804,            0.017804
                  63,            0.068963,            0.018772,            0.021619,             0.71105,             0.72233,             0.77178,             0.56771,             0.06061,            0.013825,            0.020075,            0.017768,            0.017768,            0.017768
                  64,            0.069165,            0.018861,            0.021248,              0.6963,              0.7293,             0.76367,             0.56046,             0.06049,            0.013829,            0.020015,            0.017732,            0.017732,            0.017732
                  65,            0.069236,            0.019022,            0.021089,              0.7058,             0.72728,             0.77051,             0.56692,            0.060547,            0.013835,            0.019853,            0.017696,            0.017696,            0.017696
                  66,            0.068864,            0.019017,            0.021131,             0.70549,             0.73132,             0.77476,             0.57124,            0.060278,            0.013776,            0.019408,             0.01766,             0.01766,             0.01766
                  67,            0.069143,            0.019323,            0.020148,             0.71614,             0.73724,             0.78653,             0.57617,            0.060056,            0.013725,            0.019046,            0.017624,            0.017624,            0.017624
                  68,            0.068889,             0.01922,            0.019699,             0.71171,             0.74551,             0.78233,             0.57559,             0.05995,            0.013811,            0.018791,            0.017588,            0.017588,            0.017588
                  69,            0.068826,            0.019029,            0.020151,             0.71565,             0.73587,             0.77618,             0.57303,            0.059877,            0.013812,            0.019149,            0.017552,            0.017552,            0.017552
                  70,            0.069175,            0.019089,            0.020445,              0.7122,             0.74977,             0.78623,              0.5787,            0.060295,            0.013878,            0.018401,            0.017516,            0.017516,            0.017516
                  71,            0.068855,            0.018854,             0.01991,             0.72479,             0.75695,             0.79183,             0.58546,            0.060053,            0.013804,            0.018298,             0.01748,             0.01748,             0.01748
                  72,            0.068409,            0.018886,            0.019235,             0.74317,             0.73117,             0.79206,             0.58592,            0.059928,            0.013749,            0.018281,            0.017444,            0.017444,            0.017444
                  73,             0.06908,            0.018775,            0.019606,             0.74166,             0.73151,             0.79173,             0.58545,            0.059806,            0.013731,            0.018219,            0.017408,            0.017408,            0.017408
                  74,            0.068143,            0.019264,            0.019012,             0.75322,             0.74121,             0.79594,             0.58726,            0.059865,            0.013691,            0.017916,            0.017372,            0.017372,            0.017372
                  75,            0.068362,            0.018964,            0.018829,             0.75149,             0.74351,             0.80109,             0.59145,            0.059612,            0.013711,             0.01787,            0.017336,            0.017336,            0.017336
                  76,            0.068793,            0.018731,             0.01874,             0.74641,             0.74974,             0.80428,             0.59458,             0.05983,            0.013622,            0.017728,              0.0173,              0.0173,              0.0173
                  77,            0.068457,            0.018667,            0.018236,             0.75763,             0.75529,             0.80845,             0.59601,             0.05972,            0.013655,            0.017409,            0.017264,            0.017264,            0.017264
                  78,            0.068608,            0.018739,            0.018378,             0.76712,             0.75681,             0.81525,              0.6028,             0.05977,            0.013608,            0.016958,            0.017228,            0.017228,            0.017228
                  79,            0.068528,            0.018819,            0.018109,             0.77498,             0.75304,              0.8156,             0.60554,            0.059787,            0.013642,            0.017106,            0.017192,            0.017192,            0.017192
                  80,            0.068204,             0.01862,            0.017941,             0.76543,             0.76568,              0.8186,             0.60731,            0.059711,            0.013617,            0.016786,            0.017156,            0.017156,            0.017156
                  81,            0.068206,            0.018726,            0.017365,             0.76383,             0.77374,             0.82003,             0.60765,             0.05957,            0.013622,            0.016529,             0.01712,             0.01712,             0.01712
                  82,            0.069428,            0.018733,            0.017669,             0.76734,             0.77069,             0.81929,             0.60968,            0.059712,            0.013652,            0.016428,            0.017084,            0.017084,            0.017084
                  83,            0.068457,            0.018952,             0.01728,             0.76375,             0.77425,             0.82132,             0.61225,            0.059611,            0.013662,            0.016302,            0.017048,            0.017048,            0.017048
                  84,            0.068323,            0.018733,            0.017309,              0.7682,             0.77135,             0.82531,             0.61414,            0.059354,            0.013642,            0.016012,            0.017012,            0.017012,            0.017012
