               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.04825,            0.013471,            0.042988,              0.4278,             0.23448,             0.15033,             0.10992,            0.030685,           0.0046644,            0.031767,           0.0098916,           0.0098916,           0.0098916
                  37,            0.047591,            0.013063,            0.042472,             0.49437,             0.20964,             0.16427,             0.12298,            0.030601,           0.0046438,            0.031606,           0.0098854,           0.0098854,           0.0098854
                  38,              0.0486,            0.013388,              0.0421,             0.42638,             0.25386,              0.1748,              0.1317,             0.03054,           0.0046243,            0.031176,           0.0098789,           0.0098789,           0.0098789
                  39,            0.047996,            0.013324,            0.041911,             0.46222,              0.2299,             0.17866,             0.13314,            0.030538,           0.0046516,            0.030847,           0.0098723,           0.0098723,           0.0098723
                  40,            0.047834,            0.013488,            0.041198,             0.46498,              0.2297,             0.17866,             0.13364,            0.030427,           0.0047069,            0.030602,           0.0098656,           0.0098656,           0.0098656
                  41,            0.048479,            0.013552,            0.040816,             0.47206,             0.23722,             0.18139,             0.13539,            0.030529,           0.0046616,            0.030288,           0.0098586,           0.0098586,           0.0098586
                  42,            0.048696,             0.01332,            0.040698,              0.4647,              0.2235,             0.18383,             0.13666,            0.030429,           0.0046781,            0.030035,           0.0098515,           0.0098515,           0.0098515
                  43,            0.048362,            0.013387,            0.040265,             0.44163,             0.24728,             0.19492,             0.14576,            0.030446,           0.0047053,            0.029983,           0.0098442,           0.0098442,           0.0098442
                  44,            0.048298,            0.013313,            0.039784,             0.44123,              0.2545,              0.1977,              0.1466,            0.030333,           0.0046605,            0.029743,           0.0098368,           0.0098368,           0.0098368
                  45,            0.047717,            0.013052,            0.039388,             0.41582,             0.28182,             0.20523,             0.15181,            0.030311,           0.0046578,            0.029351,           0.0098291,           0.0098291,           0.0098291
                  46,            0.048353,            0.013301,            0.039016,             0.46909,             0.25758,             0.21962,             0.16353,             0.03018,           0.0046397,            0.029162,           0.0098213,           0.0098213,           0.0098213
                  47,            0.048053,            0.013183,            0.038237,             0.46943,             0.26502,             0.22049,             0.16568,            0.030089,           0.0046063,            0.028878,           0.0098133,           0.0098133,           0.0098133
                  48,             0.04827,            0.013289,            0.038119,             0.46525,             0.28337,             0.23017,             0.17105,             0.03008,           0.0046735,             0.02855,           0.0098052,           0.0098052,           0.0098052
                  49,            0.048524,            0.013032,            0.038144,             0.49233,             0.28108,             0.23881,             0.17792,            0.030116,           0.0046669,            0.028376,           0.0097969,           0.0097969,           0.0097969
                  50,            0.048079,            0.013072,            0.037246,             0.47774,             0.27737,             0.24068,              0.1813,            0.030021,           0.0046563,            0.028102,           0.0097884,           0.0097884,           0.0097884
                  51,            0.048494,             0.01306,            0.037169,             0.48499,             0.28575,             0.23944,             0.18047,            0.029948,           0.0046597,            0.027899,           0.0097798,           0.0097798,           0.0097798
                  52,            0.048098,            0.013244,            0.036852,             0.48998,             0.28903,             0.25023,             0.18643,            0.029946,           0.0046234,            0.027776,           0.0097709,           0.0097709,           0.0097709
                  53,            0.047832,            0.012935,            0.036538,             0.45884,             0.31834,             0.25141,             0.18748,             0.02995,           0.0046164,             0.02754,           0.0097619,           0.0097619,           0.0097619
